SubscriberID,SubName,SubscriberSSN,SubscriberUniqueID,SubscriberFirstName,SubscriberlastName,SubscriberDOB,SubscriberBalAmount1,SubscriberBalAmount2,SubscriberBalAmount3,SubscriberBalAmount4,DependantUniqueID,DependantID,Dependant Name,DependantSSN,DependantFirstName,DependantlastName,DependantDOB,DependantBalAmount1,DependantBalAmount2,DependantBalAmount3,DependantBalAmount4
SUB800001,Kiera Hernandez,792-85-0244,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00057,DEP00057,Sharon Zamora,154-65-9629,Sharon,Zamora,2/9/1978,100,1817,1016,1222
SUB800001,Kiera Hernandez,784-39-2165,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00066,DEP00066,Britney Campbell,209-46-8967,Britney,Campbell,2/9/1984,100,2739,1850,1563
SUB800001,Kiera Hernandez,163-56-0026,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00084,DEP00084,Gianna Bennett,868-52-6682,Gianna,Bennett,5/9/1984,100,1411,2863,2552
SUB800001,Kiera Hernandez,514-71-2804,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00144,DEP00144,Erika Joyce,870-32-5263,Erika,Joyce,5/9/1978,100,2209,613,2479
SUB800001,Kiera Hernandez,577-95-3193,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00176,DEP00176,Jenny Maldonado,222-66-2284,Jenny,Maldonado,9/9/1988,100,2541,1275,2187
SUB800001,Kiera Hernandez,796-82-3829,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00187,DEP00187,Georgia Patrick,897-25-1579,Georgia,Patrick,12/9/1991,100,1854,2320,508
SUB800001,Kiera Hernandez,794-75-9723,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00218,DEP00218,Aurora Franklin,643-62-9946,Aurora,Franklin,5/9/1979,100,769,2180,2922
SUB800001,Kiera Hernandez,261-63-3477,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00220,DEP00220,Karla Duarte,606-99-4889,Karla,Duarte,6/9/1984,100,2905,1691,2403
SUB800001,Kiera Hernandez,777-92-1585,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00233,DEP00233,Reed Cardenas,519-44-7725,Reed,Cardenas,12/9/1988,100,551,2587,1500
SUB800001,Kiera Hernandez,268-99-1383,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00247,DEP00247,Moshe Gomez,617-31-2689,Moshe,Gomez,2/9/1976,100,2674,2388,1605
SUB800001,Kiera Hernandez,261-69-2032,SUB800001,Kiera,Hernandez,8/9/1992,2190,2166,1504,1560,DEP00266,DEP00266,Antoine Dillon,861-10-5756,Antoine,Dillon,9/9/1978,100,2492,1236,686
SUB800002,Dayana Cherry,774-98-4028,SUB800002,Dayana,Cherry,1/9/1980,2798,774,641,2860,DEP00174,DEP00174,Jadyn Perez,797-46-7516,Jadyn,Perez,2/9/1993,100,1988,1285,1095
SUB800002,Dayana Cherry,722-30-3626,SUB800002,Dayana,Cherry,1/9/1980,2798,774,641,2860,DEP00207,DEP00207,Bailey West,690-80-5031,Bailey,West,10/9/1991,100,1814,1184,2890
SUB800002,Dayana Cherry,114-86-4129,SUB800002,Dayana,Cherry,1/9/1980,2798,774,641,2860,DEP00262,DEP00262,Karlee Ware,316-55-4470,Karlee,Ware,8/9/1978,100,2266,1510,1277
SUB800002,Dayana Cherry,251-69-9983,SUB800002,Dayana,Cherry,1/9/1980,2798,774,641,2860,DEP00298,DEP00298,Louis Farrell,237-96-8601,Louis,Farrell,1/9/1981,100,2399,1139,2836
SUB800002,Dayana Cherry,625-95-0905,SUB800002,Dayana,Cherry,1/9/1980,2798,774,641,2860,DEP00308,DEP00308,Charlize Holmes,435-03-2664,Charlize,Holmes,1/9/1987,100,1288,553,1314
SUB800003,Jaiden Cortez,679-71-6000,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00044,DEP00044,Madelynn Tapia,165-80-1312,Madelynn,Tapia,2/9/1978,100,1350,620,1881
SUB800003,Jaiden Cortez,653-43-1988,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00183,DEP00183,Jaime Baker,426-04-9456,Jaime,Baker,1/9/1990,100,917,1795,539
SUB800003,Jaiden Cortez,452-75-9997,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00213,DEP00213,Kendra Liu,763-41-2429,Kendra,Liu,5/9/1987,100,2879,2693,709
SUB800003,Jaiden Cortez,812-18-5628,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00225,DEP00225,Donte Walton,265-67-0576,Donte,Walton,3/9/1992,100,1147,2750,1814
SUB800003,Jaiden Cortez,441-90-0038,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00230,DEP00230,Blake Carrillo,776-86-3891,Blake,Carrillo,7/9/1977,100,2129,749,754
SUB800003,Jaiden Cortez,519-04-5535,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00236,DEP00236,Averie Garrison,389-12-9681,Averie,Garrison,10/9/1985,100,1429,1693,2309
SUB800003,Jaiden Cortez,462-59-4145,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00245,DEP00245,Alisa Andersen,367-13-2761,Alisa,Andersen,6/9/1978,100,2083,681,1870
SUB800003,Jaiden Cortez,801-64-7831,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00281,DEP00281,Zachary Chang,668-61-4060,Zachary,Chang,11/9/1977,100,602,681,2042
SUB800003,Jaiden Cortez,685-87-1310,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00356,DEP00356,Logan Torres,820-23-7928,Logan,Torres,1/9/1984,100,1885,2399,2348
SUB800003,Jaiden Cortez,631-34-5686,SUB800003,Jaiden,Cortez,3/9/1987,100,1526,2915,1304,DEP00494,DEP00494,Emelia Chen,884-99-2892,Emelia,Chen,1/9/1982,100,2739,2572,2916
SUB800004,Martin Ibarra,808-35-9371,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00073,DEP00073,Irene Swanson,315-71-3127,Irene,Swanson,10/9/1989,100,2441,1763,758
SUB800004,Martin Ibarra,684-35-5755,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00081,DEP00081,Bo Krueger,862-04-5204,Bo,Krueger,11/9/1993,100,1139,1877,2373
SUB800004,Martin Ibarra,211-31-9963,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00099,DEP00099,Julianne Casey,167-43-8488,Julianne,Casey,6/9/1983,100,1176,595,1241
SUB800004,Martin Ibarra,526-27-9407,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00136,DEP00136,Karli Day,723-71-6779,Karli,Day,4/9/1976,100,1334,864,1789
SUB800004,Martin Ibarra,557-23-6504,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00177,DEP00177,Iyana Dennis,395-54-1409,Iyana,Dennis,1/9/1981,100,2670,1897,2254
SUB800004,Martin Ibarra,230-60-8224,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00211,DEP00211,Adalynn Johnson,144-92-4998,Adalynn,Johnson,1/9/1980,100,1563,2551,1284
SUB800004,Martin Ibarra,790-59-8428,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00300,DEP00300,Coby Archer,107-29-7636,Coby,Archer,9/9/1979,100,1008,2480,2558
SUB800004,Martin Ibarra,290-32-4346,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00302,DEP00302,Hana Cuevas,256-45-6960,Hana,Cuevas,11/9/1980,100,1654,2323,1345
SUB800004,Martin Ibarra,113-07-8178,SUB800004,Martin,Ibarra,8/9/1976,100,2031,2463,2391,DEP00481,DEP00481,Neveah Barry,894-06-8473,Neveah,Barry,1/9/1975,100,2682,560,2609
SUB800005,Mateo Carroll,223-49-5421,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00013,DEP00013,Mattie Gill,891-44-8469,Mattie,Gill,11/9/1982,100,1811,2429,2680
SUB800005,Mateo Carroll,392-01-7018,SUB800005,Mateo,Carroll,9/9/1988,100,2183,1648,812,DEP00030,DEP00030,Harry Schmidt,886-75-5147,Harry,Schmidt,7/9/1989,100,779,562,736
